policy,n,mean_rounds,mean_operational_tokens,mean_final_is
abl_critic_only,20,3.55,1069.0,0.6498
abl_entropy_only,20,6.0,1905.0,0.663
abl_full,20,3.55,6394.0,0.6498
abl_isgain_only,20,5.2,9426.2,0.6569
abl_no_critic,20,5.2,9426.2,0.6569
abl_no_entropy,20,3.55,6394.0,0.6498
abl_no_isgain,20,3.55,1069.0,0.6498
critic_only,20,3.55,1069.0,0.6498
entropy_only,20,6.0,1905.0,0.663
fixed_k1,20,1.0,280.0,0.5998
fixed_k3,20,3.0,885.0,0.6418
fixed_k6,20,6.0,1905.0,0.663
oracle_is,20,5.35,9701.5,0.6678
random_s0,20,3.8,1170.5,0.6428
random_s1,20,2.6,779.8,0.6262
random_s2,20,3.3,1009.5,0.6339
shp,20,3.55,6394.0,0.6498
